split,features,target,auc,f1,pos_rate_test
random,surface,H1,0.8578596825078871,0.7970892807164848,0.654957321076822
random,surface,H2,0.690484564542245,0.46463654223968565,0.26526592252133946
random,surface,H3,0.6461340717149135,0.5500910746812386,0.4231779382797111
random,surface,H4,0.6534855311938701,0.4575645756457565,0.26526592252133946
random,surface,H5,0.8654914428652081,0.8344303797468354,0.7019041365725541
random,surface,H6,0.7718805666717657,0.5593934288121314,0.26887721602101117
random,surface,any_hallucination,0.76478070076484,0.7336750612881658,0.9166119500984898
random,surface_noid,H1,0.8110423537435405,0.7668833003673354,0.654957321076822
random,surface_noid,H2,0.6669171776426972,0.46449136276391556,0.26526592252133946
random,surface_noid,H3,0.5760908488400382,0.485724879495736,0.4231779382797111
random,surface_noid,H4,0.6356721546819561,0.45060018467220686,0.26526592252133946
random,surface_noid,H5,0.8297180657949502,0.793401413982718,0.7019041365725541
random,surface_noid,H6,0.7382632833912582,0.5428694528220595,0.26887721602101117
random,surface_noid,any_hallucination,0.7200550504252871,0.7476389193938063,0.9166119500984898
random,tfidf,H1,0.8824687789883843,0.8305952060328575,0.654957321076822
random,tfidf,H2,0.7728537347702599,0.5298957761930884,0.26526592252133946
random,tfidf,H3,0.8542736954211304,0.7410390656463954,0.4231779382797111
random,tfidf,H4,0.8216798724108335,0.5893347993402969,0.26526592252133946
random,tfidf,H5,0.8879608757824637,0.8543547206635764,0.7019041365725541
random,tfidf,H6,0.8589373506302109,0.6434511434511434,0.26887721602101117
random,tfidf,any_hallucination,0.8204593269859892,0.8841334104491999,0.9166119500984898
heldout_model,surface,H1,0.6279723677244992,0.6391429318003659,0.7070863699798419
heldout_model,surface,H2,0.6460076648032768,0.4975845410628019,0.3163281128857187
heldout_model,surface,H3,0.5058021454363106,0.45618684777207225,0.44130873003566445
heldout_model,surface,H4,0.44347989920887154,0.3399921660791226,0.28329973639323924
heldout_model,surface,H5,0.5585412944179857,0.6495686640242481,0.812994262676384
heldout_model,surface,H6,0.5642989620820946,0.25077239958805353,0.3603659482090247
heldout_model,surface,any_hallucination,0.5828195124963973,0.8248735718299307,0.924174290587688
heldout_model,surface_noid,H1,0.6027245107872912,0.6034436373419424,0.7070863699798419
heldout_model,surface_noid,H2,0.6136428272828751,0.49943757030371205,0.3163281128857187
heldout_model,surface_noid,H3,0.46991692524520345,0.4477950713359274,0.44130873003566445
heldout_model,surface_noid,H4,0.5377565281771551,0.4236678653154626,0.28329973639323924
heldout_model,surface_noid,H5,0.566704907657023,0.6299701492537313,0.812994262676384
heldout_model,surface_noid,H6,0.6316075731497418,0.373675404350251,0.3603659482090247
heldout_model,surface_noid,any_hallucination,0.5818062818242956,0.8144222579729347,0.924174290587688
heldout_model,tfidf,H1,0.6299880192805996,0.8282754194553956,0.7070863699798419
heldout_model,tfidf,H2,0.7273419120426579,0.28783783783783784,0.3163281128857187
heldout_model,tfidf,H3,0.7951942425584676,0.3531026908292147,0.44130873003566445
heldout_model,tfidf,H4,0.7145125511670819,0.23661718398560505,0.28329973639323924
heldout_model,tfidf,H5,0.6214909779413694,0.897038567493113,0.812994262676384
heldout_model,tfidf,H6,0.7196138841078599,0.4755381604696673,0.3603659482090247
heldout_model,tfidf,any_hallucination,0.6125526687802803,0.9587178241864983,0.924174290587688
heldout_technique,surface,H1,0.8089707938667061,0.7766463000678887,0.6147253201156547
heldout_technique,surface,H2,0.6013633287517377,0.485303638482455,0.29460966542750927
heldout_technique,surface,H3,0.5466359242997116,0.4415215072875933,0.4642709624122264
heldout_technique,surface,H4,0.4997986694956848,0.3262812872467223,0.31061544816191655
heldout_technique,surface,H5,0.7998062162920596,0.8031047045778552,0.6831887649731516
heldout_technique,surface,H6,0.7359108556623494,0.5980838323353294,0.29109871953738126
heldout_technique,surface,any_hallucination,0.7317550539966979,0.7794692172975886,0.9083023543990086
heldout_technique,surface_noid,H1,0.7937615988875244,0.7623076230762308,0.6147253201156547
heldout_technique,surface_noid,H2,0.5931129159386219,0.4808587687532333,0.29460966542750927
heldout_technique,surface_noid,H3,0.5554387889037664,0.4739249771271729,0.4642709624122264
heldout_technique,surface_noid,H4,0.5341092616613337,0.4006300866369126,0.31061544816191655
heldout_technique,surface_noid,H5,0.7902537446260419,0.7781998348472337,0.6831887649731516
heldout_technique,surface_noid,H6,0.7185743292769101,0.5777889573638536,0.29109871953738126
heldout_technique,surface_noid,any_hallucination,0.7029896753847982,0.7558027743441835,0.9083023543990086
heldout_technique,tfidf,H1,0.8680417311646493,0.8332771977096666,0.6147253201156547
heldout_technique,tfidf,H2,0.7527554611630871,0.5854869323988904,0.29460966542750927
heldout_technique,tfidf,H3,0.8591992891136677,0.7192669890557394,0.4642709624122264
heldout_technique,tfidf,H4,0.8315030250866873,0.6466696074106749,0.31061544816191655
heldout_technique,tfidf,H5,0.8726219200736549,0.8652243712254415,0.6831887649731516
heldout_technique,tfidf,H6,0.8392133341359886,0.5970245795601552,0.29109871953738126
heldout_technique,tfidf,any_hallucination,0.8081650673524821,0.9070702293686451,0.9083023543990086
