held_out,target,auc,ci_low,ci_high
Claude,H1,0.596,0.581,0.611
Claude,H2,0.718,0.704,0.732
Claude,H3,0.787,0.776,0.799
Claude,H4,0.788,0.774,0.801
Claude,H5,0.671,0.658,0.686
Claude,H6,0.778,0.765,0.788
Claude,any_hallucination,0.539,0.502,0.578
GPT,H1,0.702,0.689,0.714
GPT,H2,0.735,0.719,0.749
GPT,H3,0.796,0.785,0.807
GPT,H4,0.779,0.767,0.79
GPT,H5,0.719,0.707,0.73
GPT,H6,0.736,0.713,0.76
GPT,any_hallucination,0.548,0.531,0.566
Gemini,H1,0.63,0.613,0.644
Gemini,H2,0.727,0.715,0.741
Gemini,H3,0.795,0.785,0.806
Gemini,H4,0.715,0.702,0.729
Gemini,H5,0.621,0.604,0.64
Gemini,H6,0.72,0.708,0.732
Gemini,any_hallucination,0.613,0.585,0.636
