features,held_out,target,auc
tfidf,Claude,H1,0.5964857286523315
tfidf,Claude,H2,0.7178015943278181
tfidf,Claude,H3,0.7872210829005148
tfidf,Claude,H4,0.7881234864160849
tfidf,Claude,H5,0.6714604561770765
tfidf,Claude,H6,0.777537594177224
tfidf,Claude,any_hallucination,0.5389153015659041
tfidf,GPT,H1,0.7018720175777565
tfidf,GPT,H2,0.7349447924792991
tfidf,GPT,H3,0.7959483475798256
tfidf,GPT,H4,0.7789844811675516
tfidf,GPT,H5,0.71880436340872
tfidf,GPT,H6,0.7356049709159388
tfidf,GPT,any_hallucination,0.5479925383693546
tfidf,Gemini,H1,0.6299880192805996
tfidf,Gemini,H2,0.7273419120426579
tfidf,Gemini,H3,0.7951942425584676
tfidf,Gemini,H4,0.7145125511670819
tfidf,Gemini,H5,0.6214909779413694
tfidf,Gemini,H6,0.7196138841078599
tfidf,Gemini,any_hallucination,0.6125526687802803
grounded,Claude,H1,0.8827284665640105
grounded,Claude,H2,0.6117141972770256
grounded,Claude,H3,0.5717505182675375
grounded,Claude,H4,0.5457052927995321
grounded,Claude,H5,0.8401299254181241
grounded,Claude,H6,0.5655672931169566
grounded,Claude,any_hallucination,0.8516868673495179
grounded,GPT,H1,0.6652878627209575
grounded,GPT,H2,0.5960976393072925
grounded,GPT,H3,0.6421034758366813
grounded,GPT,H4,0.5279128305170665
grounded,GPT,H5,0.6392401579509264
grounded,GPT,H6,0.5793585796450337
grounded,GPT,any_hallucination,0.6156265214411416
grounded,Gemini,H1,0.6494782814633195
grounded,Gemini,H2,0.7196478682196399
grounded,Gemini,H3,0.5178455760981566
grounded,Gemini,H4,0.5230741246796395
grounded,Gemini,H5,0.6159002495311604
grounded,Gemini,H6,0.6726938924529287
grounded,Gemini,any_hallucination,0.6378679952237822
grounded+surface,Claude,H1,0.8897436997666214
grounded+surface,Claude,H2,0.5954263475079481
grounded+surface,Claude,H3,0.565913245155237
grounded+surface,Claude,H4,0.5676423864590383
grounded+surface,Claude,H5,0.8547341538514287
grounded+surface,Claude,H6,0.5695753612129966
grounded+surface,Claude,any_hallucination,0.7440860344474802
grounded+surface,GPT,H1,0.692053838618942
grounded+surface,GPT,H2,0.5878142088306246
grounded+surface,GPT,H3,0.6633478007758238
grounded+surface,GPT,H4,0.5984218400490984
grounded+surface,GPT,H5,0.6763150014356563
grounded+surface,GPT,H6,0.5811083159400242
grounded+surface,GPT,any_hallucination,0.5731959292103541
grounded+surface,Gemini,H1,0.649508001077336
grounded+surface,Gemini,H2,0.7023556984599237
grounded+surface,Gemini,H3,0.5925472233746025
grounded+surface,Gemini,H4,0.5438156959516575
grounded+surface,Gemini,H5,0.6197879253993874
grounded+surface,Gemini,H6,0.6845867626349554
grounded+surface,Gemini,any_hallucination,0.6374294890270515
embed,Claude,H1,0.8530218329638106
embed,Claude,H2,0.6590137190794523
embed,Claude,H3,0.6889235638973719
embed,Claude,H4,0.6742555694497419
embed,Claude,H5,0.8617666218724612
embed,Claude,H6,0.6607561998940347
embed,Claude,any_hallucination,0.6699132193108097
embed,GPT,H1,0.5268350602550391
embed,GPT,H2,0.6240148570779841
embed,GPT,H3,0.8240739780087187
embed,GPT,H4,0.715819649150346
embed,GPT,H5,0.565929066675649
embed,GPT,H6,0.6730131332235667
embed,GPT,any_hallucination,0.5869475234491799
embed,Gemini,H1,0.6705276624594838
embed,Gemini,H2,0.6274351371303796
embed,Gemini,H3,0.6451591542848361
embed,Gemini,H4,0.6436523449758502
embed,Gemini,H5,0.6547151710454024
embed,Gemini,H6,0.5596187868356544
embed,Gemini,any_hallucination,0.5280311140390606
