held_out,target,auc
Claude,H1,0.6470060368738783
Claude,H2,0.6689122978931896
Claude,H3,0.7576940658244681
Claude,H4,0.7313039417029743
Claude,H5,0.7236130776161669
Claude,H6,0.7535046975392236
Claude,any_hallucination,0.5621970345024236
GPT,H1,0.5950950095338285
GPT,H2,0.6469048252648538
GPT,H3,0.802264239028945
GPT,H4,0.7519840269020598
GPT,H5,0.6747203689167975
GPT,H6,0.7360608093002459
GPT,any_hallucination,0.5348212740925292
Gemini,H1,0.6166710654539548
Gemini,H2,0.7297532213046227
Gemini,H3,0.7809449968074433
Gemini,H4,0.7155604493775093
Gemini,H5,0.5413937024513947
Gemini,H6,0.7215906510024157
Gemini,any_hallucination,0.5799095161414001
